iter	Logloss
0	0.5139084395
1	0.4119510052	2	0.3316057185
3	0.2754523909
4	0.2426606857
5	0.2170367358
6	0.1987644904
7	0.1849681953
8	0.1716853282
9	0.1640351094
10	0.157680244
11	0.1520631133
12	0.1469831053
13	0.1388095087114	0.1345275761515	0.1291330091616	0.1253218731717	0.1225560401818	0.1196080521919	0.1161049832020	0.1134081022121	0.1102149772222	0.10790363823	0.1053840665
24	0.1034424492
25	0.1018051317
2626	0.09936032927	27	0.09716458528	28	0.0956009029	029	0.0937010730	030	0.0922887431	031	0.09009412323232	0.08868767333	33	0.08762377334	34	0.08644023135	0.08497063865336	0.08377471247
37	0.08226891613338	0.08125294631
39	0.07996300857
40	0.07878219305
41	0.07786488825
42	0.07686150286
43	0.0760276273
44	0.07471720796
45	0.07368750133
46	0.07295125633
47	47	0.07098135348	48	0.07029018649	49	0.06992182550	0.06971091897
51	51	0.0678161335252	0.066936936653	0.06745629642
54	0.06657252556
55	0.06600539616
56	0.06507184005
557	0.06247911283558	0.06186835949559	0.06086565534660	0.06046005937661	0.05984811737662	0.05889092411663	0.05796642516464	0.05737514566565	0.05644777376666	0.05589629876767	0.05514986566868	0.05446936456969	0.05397598937070	0.0533606924771	0.05275675535772	0.05249635083773	0.05164632322774	0.05129372917575	0.05071210591
76	0.05026090937
77	0.04961790988
78	0.04902570146
79	0.04851722224
80	0.04800823921
81	0.04742841619
82	0.0469705585
83	0.04664315048
84	0.04602266989
85	0.045772771
86	0.04514061869
87	0.04482531389
88	0.04425191908
89	0.04370076924
90	0.04327527135
91	0.04302601617
92	0.04278792796
93	0.0425250841
94	0.0420520185
95	0.04179062263
96	0.04124389845
97	0.04076436769
98	0.04052330514
99	0.04010745123


8
