iter	Passed	Remaining
0	481	47686
1	784	38433
2	1275	41226
3	1600	38403
4	1994	37898
5	2374	3719366	2847	37834
7	3200	36801
8	3419	34571
9	3733	33600
10	4010	32448
11	4309	31600
12	4460	29852
13	4683	28769114	4972	28174115	5262	27627116	5634	27511117	5916	26954118	6241	26606119	6617	26469220	6935	26092221	7191	25495222	7490	2507623	7831	24799
24	8246	24739
25	8564	24376
226	9215	24917227	9583	24642228	9842	24097229	10236	23883030	10629	23631	31	10852	23033232	11174	22683333	11537	22333434	11954	222035	11970	21280336	12331	20996
37	12651	20642338	13012	20353
39	13314	19972
40	13581	19543
41	13775	19022
42	14017	18581
43	14274	18168
44	14518	17744
45	14866	17452
46	15213	17156
4747	15796	17114848	16004	16649	49	16165	16150	16189	15555
51	51	16918	15652	52	17127	15153	17002	14483
54	17280	14138
55	17570	13805
56	17811	13436
57	57	18430	13358	58	18757	13059	59	19033	12660	60	19338	12361	61	19658	12062	62	20017	11763	63	20250	11364	64	20497	11065	65	20806	10766	66	21066	10367	67	21435	1068	268	21741	969	269	22086	970	270	22414	971	271	22686	872	272	22928	873	273	23265	874	274	23450	775	275	23833	7526
76	24119	7204
77	24415	6886
78	24783	6588
79	25103	6275
80	25488	5978
81	25800	5663
82	26059	5337
83	26298	5009
84	26533	4682
85	26870	4374
86	27077	4046
87	27364	3731
88	27621	3413
89	27885	3098
90	28129	2782
91	28387	2468
92	28679	2158
93	29030	1852
94	29297	1541
95	29480	1228
96	29700	918
97	29823	608
98	29965	302
99	30223	0
